iter	RMSE
0	11.24422581
1	10.70102028
2	10.19438755
3	9.703361641
4	9.231891953
5	8.783871764
6	8.357800314
7	7.9558717
8	7.577244912
9	7.207518653
10	6.860896011
11	6.53046621
12	6.212494346
13	5.918156271
14	5.63301132
15	5.358630588
16	5.102723499
17	4.857705242
18	4.626134211
19	4.405083473
20	4.196617538
21	3.995485829
22	3.809398509
23	3.630763399
24	3.458855773
25	3.296160203
26	3.141007956
27	2.992166569
28	2.857436104
29	2.72476217
30	2.596424067
31	2.475429664
32	2.362409374
33	2.252640051
34	2.148363546
35	2.048467426
36	1.954540443
37	1.865045748
38	1.78039148
39	1.700818715
40	1.624027036
41	1.551836739
42	1.484701447
43	1.419819834
44	1.359085839
45	1.300644384
46	1.246032963
47	1.195737605
48	1.146737855
49	1.099698822
50	1.054928712
51	1.012226925
52	0.9727525573
53	0.9344173689
54	0.8991691751
55	0.865495279
56	0.8334820859
57	0.8036521085
58	0.7766140179
59	0.7507447719
60	0.7260264309
61	0.7020981324
62	0.678826981
63	0.6587305768
64	0.638464188
65	0.6194394097
66	0.6019585088
67	0.5848490674
68	0.5692087002
69	0.555327902
70	0.5421865433
71	0.5281656696
72	0.5159739821
73	0.5048196393
74	0.4934807525
75	0.4831237288
76	0.4733466374
77	0.4649538999
78	0.4565078656
79	0.4479270247
80	0.4398499658
81	0.4321074351
82	0.424756903
83	0.419410881
84	0.4137719284
85	0.4090675358
86	0.4035200905
87	0.3982358924
88	0.3937229591
89	0.3895309004
90	0.3854510574
91	0.3809241766
92	0.3775770783
93	0.3737709115
94	0.3705509996
95	0.3679813781
96	0.3644934266
97	0.3610396583
98	0.3581723661
99	0.3558210766
100	0.3535463922
101	0.350910465
102	0.3488393964
103	0.3460672806
104	0.344209213
105	0.3420514913
106	0.3405186088
107	0.3384154087
108	0.3369399242
109	0.3353502805
110	0.3339169193
111	0.3325693271
112	0.3308571974
113	0.3295720355
114	0.3279100403
115	0.3258369734
116	0.3241356156
117	0.3227357532
118	0.3213074533
119	0.3201270062
120	0.3188195549
121	0.3176889991
122	0.3166993027
123	0.315882906
124	0.3152005982
125	0.3144491593
126	0.3132197966
127	0.3118310397
128	0.3107489593
129	0.3097530703
130	0.3082706829
131	0.3071574085
132	0.3063201749
133	0.3049018316
134	0.3041458229
135	0.30339485
136	0.3026943706
137	0.3018426214
138	0.3009418101
139	0.3001521717
140	0.2990724038
141	0.2983473194
142	0.2973925696
143	0.2965875047
144	0.296010894
145	0.2952868842
146	0.294560172
147	0.2939522768
148	0.2932428926
149	0.2923716597
150	0.2918149624
151	0.2912484525
152	0.2904018161
153	0.289545469
154	0.2888326418
155	0.2881134402
156	0.2874566156
157	0.2867257923
158	0.2860704429
159	0.2850971518
160	0.2842221427
161	0.2837928053
162	0.2831788655
163	0.2826668555
164	0.2814661735
165	0.2804080655
166	0.2798269978
167	0.2791731238
168	0.278507292
169	0.277837433
170	0.2770936034
171	0.2764487913
172	0.2758187041
173	0.275168543
174	0.2746151617
175	0.2741048794
176	0.2735350576
177	0.2730814722
178	0.2724217394
179	0.2713689562
180	0.2709161579
181	0.2704295304
182	0.2700896504
183	0.2698174792
184	0.2691323309
185	0.268696491
186	0.2682155604
187	0.2675574454
188	0.2670577149
189	0.2665263534
190	0.265267293
191	0.2647989924
192	0.264154358
193	0.2635542703
194	0.2632580987
195	0.2629523798
196	0.2626507687
197	0.2620873408
198	0.2618405107
199	0.2612054565
200	0.2604212628
201	0.2596294423
202	0.2593559586
203	0.2590074391
204	0.2588246962
205	0.2581740675
206	0.2576461311
207	0.2574297971
208	0.2568921346
209	0.256636877
210	0.2559186739
211	0.255410943
212	0.2548853081
213	0.2544578052
214	0.2538363741
215	0.2532380708
216	0.2525198912
217	0.2520372635
218	0.2515323229
219	0.2513880218
220	0.2509206143
221	0.2504361771
222	0.2499442178
223	0.2497822234
224	0.2489507922
225	0.2486251271
226	0.2480567689
227	0.2475264284
228	0.2469166692
229	0.246684607
230	0.2458751232
231	0.2455330448
232	0.2453995956
233	0.2449193701
234	0.2443888736
235	0.2438824025
236	0.2432854535
237	0.2425444271
238	0.2420800537
239	0.2419426663
240	0.241515844
241	0.2406579382
242	0.2405319756
243	0.2402730266
244	0.2395738186
245	0.2391491582
246	0.2390454761
247	0.2387961308
248	0.2379559684
249	0.2375056245
250	0.2370228766
251	0.2366965404
252	0.236293583
253	0.2357217307
254	0.2356191797
255	0.2353683685
256	0.2350802615
257	0.2346847737
258	0.2340527835
259	0.2335774192
260	0.2330921191
261	0.232658221
262	0.2322046067
263	0.2319207175
264	0.2310673844
265	0.2309709032
266	0.2306062638
267	0.2299727769
268	0.2293334516
269	0.2288945631
270	0.2285182302
271	0.2282705484
272	0.2278068814
273	0.2276049295
274	0.2272455545
275	0.2270125486
276	0.2265226139
277	0.2259993553
278	0.2258940822
279	0.2251755908
280	0.2247631724
281	0.2244480956
282	0.2240662319
283	0.2237780874
284	0.2235930499
285	0.2233071763
286	0.2229251194
287	0.2224160884
288	0.2221338187
289	0.2217170761
290	0.221274311
291	0.2207263791
292	0.220201365
293	0.219808501
294	0.2197375998
295	0.2196696526
296	0.219395018
297	0.2187587751
298	0.2185242965
299	0.2182423182
300	0.2177647488
301	0.2174110602
302	0.2171480862
303	0.2169463298
304	0.2165118539
305	0.2162467131
306	0.2159171766
307	0.2158551227
308	0.2153031167
309	0.2148274294
310	0.2147569626
311	0.214507369
312	0.2139640699
313	0.2131737493
314	0.2127265029
315	0.2124464391
316	0.2121485752
317	0.2120838947
318	0.2113848053
319	0.2109488277
320	0.2107210654
321	0.2103826024
322	0.2098526326
323	0.2092474545
324	0.2088515155
325	0.2085302998
326	0.2081421134
327	0.2077710465
328	0.207533542
329	0.2074093693
330	0.2069545598
331	0.2065806482
332	0.2064016509
333	0.2062462648
334	0.2058747159
335	0.2058126047
336	0.2057628499
337	0.2051765033
338	0.2048720579
339	0.2044638318
340	0.2041974102
341	0.2039633054
342	0.2037136339
343	0.2035620483
344	0.2028169387
345	0.2027167041
346	0.2023244636
347	0.2022759798
348	0.2021807101
349	0.2021328711
350	0.2018468601
351	0.201611688
352	0.2013113876
353	0.2009673206
354	0.2005753603
355	0.2005298907
356	0.1999767001
357	0.1998280364
358	0.1995702205
359	0.1992243871
360	0.1990854238
361	0.1990059234
362	0.1988520517
363	0.1984368667
364	0.197842358
365	0.1978051319
366	0.1973080318
367	0.1969551328
368	0.1969012991
369	0.1968631065
370	0.196267872
371	0.1959523689
372	0.1954859778
373	0.1952160499
374	0.1950491512
375	0.1946385239
376	0.194504733
377	0.1943096763
378	0.1939753722
379	0.1939296558
380	0.193738336
381	0.1936373033
382	0.1933238857
383	0.1931887351
384	0.1929157379
385	0.1926280532
386	0.1923476933
387	0.1917271305
388	0.1913913044
389	0.1913137507
390	0.1911098814
391	0.1907483436
392	0.1905581811
393	0.1903659501
394	0.1902563466
395	0.1900119678
396	0.189950462
397	0.1897386173
398	0.1894809587
399	0.1890254375
400	0.1887516721
401	0.1885862611
402	0.1885493931
403	0.1884182406
404	0.1879443986
405	0.1876376757
406	0.1875711318
407	0.1873389536
408	0.1870262454
409	0.1865148057
410	0.1862714136
411	0.185877132
412	0.1854067536
413	0.1851785065
414	0.1850536361
415	0.1845242555
416	0.1844001057
417	0.1841552481
418	0.1837668209
419	0.1836395229
420	0.1833350599
421	0.18322027
422	0.1830706781
423	0.1830367113
424	0.182786038
425	0.1825218738
426	0.1823686885
427	0.1821285283
428	0.1820958925
429	0.1817884145
430	0.181523587
431	0.1814897469
432	0.1812578372
433	0.1812144457
434	0.1808019057
435	0.1803747596
436	0.1802508558
437	0.1801219493
438	0.1800716796
439	0.1795221659
440	0.1793099667
441	0.1790461919
442	0.1788026461
443	0.1786260416
444	0.1784086304
445	0.1783538895
446	0.1781748567
447	0.1780192753
448	0.1779568203
449	0.177744971
450	0.177601903
451	0.177456447
452	0.1771769278
453	0.1771440454
454	0.176689168
455	0.1761449194
456	0.1756773329
457	0.175288632
458	0.1752598701
459	0.1749307964
460	0.1746358245
461	0.1744279249
462	0.1740609677
463	0.1737178805
464	0.1733716518
465	0.1730907986
466	0.1728998181
467	0.1727222575
468	0.1724395079
469	0.172238515
470	0.1720750016
471	0.1718366604
472	0.1715262377
473	0.1713940199
474	0.1712454081
475	0.1709985337
476	0.1707575037
477	0.1704714971
478	0.1704459741
479	0.170189643
480	0.1701601638
481	0.1698544586
482	0.1696723139
483	0.1695134867
484	0.1692096688
485	0.1691052686
486	0.1689059849
487	0.1686993027
488	0.1685163806
489	0.1681894035
490	0.1678137798
491	0.1675015449
492	0.1672306828
493	0.1670121929
494	0.1667484925
495	0.1664080072
496	0.1662242323
497	0.1662029212
498	0.1661295562
499	0.1659316555
500	0.1658884328
501	0.1656690192
502	0.1652825805
503	0.1649008683
504	0.1644532278
505	0.1643289495
506	0.1642915573
507	0.1640734237
508	0.1637664216
509	0.1635856784
510	0.1634488084
511	0.1632841513
512	0.1629419588
513	0.1626536777
514	0.1623767687
515	0.1620048236
516	0.1618828282
517	0.1617791747
518	0.1614397351
519	0.1611091103
520	0.1609917783
521	0.1607962858
522	0.1606041862
523	0.1604359283
524	0.1602278483
525	0.1598964399
526	0.1597669943
527	0.1597321988
528	0.1596735113
529	0.1593757503
530	0.1591369324
531	0.1588857231
532	0.1586803782
533	0.1585017105
534	0.1582686247
535	0.1580860717
536	0.1579217099
537	0.1578017521
538	0.1575263958
539	0.1573625846
540	0.1571100726
541	0.1569162529
542	0.1567730772
543	0.1564032885
544	0.1561706586
545	0.1560076964
546	0.1555995992
547	0.1552468064
548	0.1550712186
549	0.1549812313
550	0.1548580857
551	0.1545946087
552	0.1543875812
553	0.1542292249
554	0.1541913877
555	0.1537949742
556	0.1536982731
557	0.153607639
558	0.1533334721
559	0.1532324404
560	0.1529710013
561	0.152771739
562	0.1526025899
563	0.1524211602
564	0.1522105568
565	0.1521151243
566	0.1519574493
567	0.1518973986
568	0.1517524641
569	0.1516938927
570	0.1516638211
571	0.1516265513
572	0.1514389989
573	0.151414337
574	0.1513175935
575	0.1511866957
576	0.1511492382
577	0.1510082099
578	0.1509278442
579	0.1508184844
580	0.1505471351
581	0.1505276851
582	0.1504316177
583	0.1502420515
584	0.1500128593
585	0.1497013805
586	0.1495361258
587	0.1493856108
588	0.1493541601
589	0.1491357281
590	0.1489096515
591	0.1486978912
592	0.1486150281
593	0.1485971674
594	0.1484770668
595	0.1483569352
596	0.1483385854
597	0.1480050154
598	0.1479722792
599	0.1478575625
600	0.1477085584
601	0.1472878611
602	0.147204235
603	0.147094445
604	0.1469903155
605	0.1467619245
606	0.1465794578
607	0.1463405356
608	0.146214771
609	0.1460887999
610	0.145943586
611	0.1455602908
612	0.1455435924
613	0.1454091539
614	0.145392283
615	0.1452198945
616	0.1451038769
617	0.1448888786
618	0.1448669406
619	0.1446621841
620	0.1445592802
621	0.1443578316
622	0.1441179179
623	0.1439640957
624	0.1438163227
625	0.1436313553
626	0.1435083849
627	0.1432903095
628	0.1431528018
629	0.1427100095
630	0.1424714308
631	0.1423577212
632	0.1421469271
633	0.1419665965
634	0.1417484587
635	0.1416474527
636	0.1414945827
637	0.1413777049
638	0.1413456039
639	0.1411549067
640	0.1411392182
641	0.1407823109
642	0.1407493637
643	0.1405704112
644	0.1403483465
645	0.1402123061
646	0.140086936
647	0.1400257094
648	0.1396732385
649	0.1394422921
650	0.1392697916
651	0.1390767723
652	0.1389759542
653	0.1388255066
654	0.1387449749
655	0.1385550391
656	0.1383034661
657	0.1379725107
658	0.1378284432
659	0.1376891691
660	0.1376218298
661	0.1375070021
662	0.1374618534
663	0.1370940576
664	0.1369733541
665	0.1368050758
666	0.1367890233
667	0.1367730277
668	0.1366225643
669	0.1365930732
670	0.1365750933
671	0.1365463205
672	0.1361791273
673	0.1361080208
674	0.1359076022
675	0.135783776
676	0.1357508183
677	0.135583414
678	0.1355531631
679	0.1354699729
680	0.1354423044
681	0.1353298503
682	0.1351816659
683	0.1350203827
684	0.1348310835
685	0.1345293789
686	0.1344239423
687	0.1343505301
688	0.1341071037
689	0.1338763689
690	0.1337308283
691	0.1335551003
692	0.1333320868
693	0.1331518622
694	0.1330360123
695	0.1329088726
696	0.1327052752
697	0.1326246078
698	0.1324648565
699	0.1324254206
700	0.1323447336
701	0.1320559731
702	0.1320337677
703	0.1319466806
704	0.1317353325
705	0.1315732364
706	0.1314980638
707	0.1314674173
708	0.1313701686
709	0.1312808952
710	0.1312079346
711	0.1308616506
712	0.130751898
713	0.1304790501
714	0.1303593279
715	0.1301770889
716	0.1301132135
717	0.1300089899
718	0.1298798171
719	0.1297066362
720	0.129628998
721	0.1295706299
722	0.1294331433
723	0.1291488707
724	0.1289230542
725	0.1287420184
726	0.1286199884
727	0.1285284319
728	0.1285046734
729	0.1284431277
730	0.1282926227
731	0.1282301291
732	0.128080857
733	0.1279611084
734	0.1278178583
735	0.1277420841
736	0.1277175628
737	0.1276186788
738	0.1274679243
739	0.1274441214
740	0.1273608881
741	0.1271348456
742	0.1271023149
743	0.1269774947
744	0.126870046
745	0.126782313
746	0.1267189256
747	0.1266524577
748	0.1266379691
749	0.126406855
750	0.1263802872
751	0.1263657746
752	0.1262693317
753	0.1260206812
754	0.1259940313
755	0.125808271
756	0.1256595557
757	0.125502956
758	0.1252347772
759	0.1250780028
760	0.1249404295
761	0.124782275
762	0.1247273726
763	0.124663592
764	0.1245452389
765	0.1244268868
766	0.124355698
767	0.12421856
768	0.1240751738
769	0.1239523369
770	0.1239204725
771	0.1237012164
772	0.1236680293
773	0.1236451281
774	0.1234643816
775	0.1234158688
776	0.1232740907
777	0.1232336447
778	0.1231590723
779	0.1230652029
780	0.1229715274
781	0.1228547898
782	0.1227585293
783	0.1224811611
