iter	RMSE
0	11.24439063
1	10.69418297
2	10.17217301
3	9.678133808
4	9.207025762
5	8.762621467
6	8.341083456
7	7.938199207
8	7.550284696
9	7.184558072
10	6.828684274
11	6.495569798
12	6.188085747
13	5.898405819
14	5.613380217
15	5.346929962
16	5.093692236
17	4.849546556
18	4.610478684
19	4.390936051
20	4.182311621
21	3.982732984
22	3.793018529
23	3.607394251
24	3.432274694
25	3.270230256
26	3.113793717
27	2.966930222
28	2.827215917
29	2.694551035
30	2.571063247
31	2.451695694
32	2.336331777
33	2.230150284
34	2.127236579
35	2.030585369
36	1.937040463
37	1.848841479
38	1.765745134
39	1.68680805
40	1.610973837
41	1.538139428
42	1.470032711
43	1.405691532
44	1.345492639
45	1.287582397
46	1.234453249
47	1.184064104
48	1.134166887
49	1.087507113
50	1.04394246
51	1.003927341
52	0.9644187841
53	0.9274954889
54	0.8919875395
55	0.8592425761
56	0.8265611441
57	0.7973457655
58	0.7694479438
59	0.7423188283
60	0.7180269795
61	0.6952890402
62	0.6722282125
63	0.6518843688
64	0.6324627317
65	0.6149050358
66	0.5974195715
67	0.5818064904
68	0.5673603606
69	0.5527185587
70	0.5398149656
71	0.5273186423
72	0.5150616543
73	0.5031032424
74	0.4932132631
75	0.483972586
76	0.4750014291
77	0.4676490613
78	0.4590889627
79	0.4505538163
80	0.4428450473
81	0.4365381331
82	0.429346804
83	0.423124172
84	0.4171952194
85	0.4119318571
86	0.4067973098
87	0.4014602907
88	0.3972512385
89	0.3930036782
90	0.3895227716
91	0.3857762014
92	0.3823127905
93	0.378611878
94	0.3757279515
95	0.3727951653
96	0.369839621
97	0.3662318058
98	0.3630065043
99	0.3610672826
100	0.359141223
101	0.357231273
102	0.3548652601
103	0.3530862182
104	0.351314014
105	0.3497361154
106	0.3483316907
107	0.3458565747
108	0.3441576732
109	0.34229508
110	0.340888453
111	0.339569683
112	0.3380429571
113	0.3362191837
114	0.3350081248
115	0.3340942767
116	0.3331350839
117	0.3317754278
118	0.3304739699
119	0.328528362
120	0.3274252597
121	0.3260361219
122	0.3253063104
123	0.3244247396
124	0.3231058546
125	0.3221003677
126	0.3211637552
127	0.3204390328
128	0.3196035744
129	0.318119821
130	0.317273001
131	0.3163176134
132	0.3155352657
133	0.3144226372
134	0.313488341
135	0.3129098377
136	0.3123353208
137	0.311740591
138	0.3111641238
139	0.3098725008
140	0.3092717087
141	0.3084158486
142	0.3078885883
143	0.3068324258
144	0.3062008113
145	0.3056037323
146	0.30487458
147	0.3040600688
148	0.3034297459
149	0.3025468765
150	0.3020689452
151	0.3010869225
152	0.3003374895
153	0.2997106146
154	0.2992814932
155	0.2985909546
156	0.2975135305
157	0.2966142204
158	0.2955244258
159	0.294479227
160	0.293546816
161	0.2925766635
162	0.2915123685
163	0.2910269052
164	0.2899981615
165	0.288984737
166	0.2883238186
167	0.2873355988
168	0.2868932769
169	0.2861400013
170	0.2856435505
171	0.2851718243
172	0.2846284153
173	0.2839753704
174	0.2834391309
175	0.2831177449
176	0.2822246593
177	0.2818017763
178	0.2808208053
179	0.2802869586
180	0.279395984
181	0.2789297099
182	0.278504576
183	0.2779447141
184	0.277598889
185	0.2770036625
186	0.2762441676
187	0.2758151663
188	0.2754482989
189	0.2745394852
190	0.2741864177
191	0.2738220613
192	0.273175284
193	0.2726708342
194	0.2722634332
195	0.2717514889
196	0.2713594959
197	0.2709995135
198	0.2706990707
199	0.2703244438
200	0.2698283192
201	0.2692306388
202	0.2689747708
203	0.2683798295
204	0.2678305495
205	0.2675996983
206	0.2672984141
207	0.2669609937
208	0.2665002927
209	0.2662185964
210	0.2652146395
211	0.2650257833
212	0.2644501096
213	0.2640318143
214	0.2637384874
215	0.263278602
216	0.2626281247
217	0.2624345478
218	0.2623426532
219	0.2620288101
220	0.261769675
221	0.2611018784
222	0.2603660926
223	0.2598134621
224	0.2593804205
225	0.2587859618
226	0.2584188619
227	0.2579689424
228	0.2578765201
229	0.2577901675
230	0.2573299832
231	0.2562133036
232	0.2556881667
233	0.2551725118
234	0.2548042687
235	0.2546341643
236	0.2541854517
237	0.2533706487
238	0.2527525218
239	0.2523347764
240	0.2519888926
241	0.2516935196
242	0.2509529367
243	0.2503756988
244	0.2499445773
245	0.2492173016
246	0.2485086867
247	0.2483954858
248	0.2480903079
249	0.2476038515
250	0.2472692891
251	0.2467089989
252	0.2462178746
253	0.2461397408
254	0.245701525
255	0.245627476
256	0.2452760446
257	0.2448373985
258	0.2442993086
259	0.2435924899
260	0.2433188331
261	0.2427892769
262	0.2425202744
263	0.2424027989
264	0.2420275273
265	0.2416124733
266	0.2414873659
267	0.2411534497
268	0.240865132
269	0.2402957689
270	0.2398012436
271	0.2393570495
272	0.2388603468
273	0.2384463236
274	0.2381289634
275	0.2380315983
276	0.2378020385
277	0.2374742659
278	0.2373711857
279	0.2368622404
280	0.2367923879
281	0.2367041176
282	0.2365215781
283	0.2361813749
284	0.2357420541
285	0.2355536235
286	0.235487134
287	0.2352086958
288	0.2348082054
289	0.2343733399
290	0.2340635396
291	0.2335264732
292	0.2328780929
293	0.232700887
294	0.2325442926
295	0.2321396745
296	0.23197791
297	0.2317234688
298	0.2312891845
299	0.2312171428
300	0.2308571961
301	0.2305125691
302	0.2301391204
303	0.2300010558
304	0.2296373177
305	0.2290949675
306	0.2286875668
307	0.2286277163
308	0.2282490696
309	0.2278964508
310	0.2276838526
311	0.2273149215
312	0.2270025555
313	0.2266631106
314	0.2262898738
315	0.2259298633
316	0.2258710768
317	0.2254920784
318	0.2252586373
319	0.2249055356
320	0.224799474
321	0.2242764686
322	0.2241576501
323	0.2239019029
324	0.2234650135
325	0.223332466
326	0.2230745967
327	0.2226672397
328	0.2223330201
329	0.2222663053
330	0.2218885909
331	0.2216864463
332	0.2214117773
333	0.220972495
334	0.2209179292
335	0.2206709975
336	0.2200843151
337	0.2199013144
338	0.2195302535
339	0.2190885176
340	0.219034485
341	0.2189734533
342	0.2189227077
343	0.2184980436
344	0.218402382
345	0.2181923487
346	0.2181335689
347	0.21780768
348	0.2176188815
349	0.2173182377
350	0.2171427569
351	0.2167482487
352	0.2165160693
353	0.2164453196
354	0.2163490649
355	0.2159215551
356	0.2157787211
357	0.2154797734
358	0.2151257329
359	0.2148269385
360	0.2145361232
361	0.2144553415
362	0.2139685472
363	0.2137736511
364	0.213612901
365	0.2133878092
366	0.2128262143
367	0.2124564293
368	0.2120986124
369	0.2119132132
370	0.2115876256
371	0.21149471
372	0.2112273494
373	0.2109990372
374	0.21080882
375	0.2104081138
376	0.2103182755
377	0.2100374752
378	0.2097317885
379	0.2094597805
380	0.2093218767
381	0.209042618
382	0.2088101615
383	0.2087198419
384	0.2086461129
385	0.2084980513
386	0.2082038575
387	0.2080006631
388	0.2079562445
389	0.2076102693
390	0.2075673053
391	0.2074998814
392	0.2070276348
393	0.2068045832
394	0.2067294223
395	0.2064475092
396	0.206063203
397	0.2059697534
398	0.2055583269
399	0.2053864703
400	0.2052155833
401	0.2051026742
402	0.2049057176
403	0.2046892592
404	0.2046116859
405	0.2043162096
406	0.2042385492
407	0.2039914016
408	0.2039518111
409	0.2036726334
410	0.2034680539
411	0.2030651411
412	0.2029203166
413	0.2027060911
414	0.2025447841
415	0.2024317417
416	0.2021739945
417	0.2020599037
418	0.201709046
419	0.2013938194
420	0.201345594
421	0.2012844176
422	0.2010093732
423	0.2007418865
424	0.2004073684
425	0.2000669568
426	0.1996353445
427	0.1995782732
428	0.1992339571
429	0.199178081
430	0.1986930114
431	0.1985519993
432	0.1981257387
433	0.1978510149
434	0.197640089
435	0.1973053112
436	0.1970284859
437	0.1968454138
438	0.1966804677
439	0.1965200524
440	0.1962726556
441	0.1962357359
442	0.1960290065
443	0.1958571312
444	0.1958027493
445	0.1956075659
446	0.1954401789
447	0.1952629637
448	0.1951407093
449	0.1950927039
450	0.1950556306
451	0.194935548
452	0.1948037936
453	0.194737021
454	0.1947027999
455	0.1943027638
456	0.1941407969
457	0.1939203463
458	0.1936997951
459	0.1934868434
460	0.1932162478
461	0.1928903746
462	0.1928472558
463	0.1927966874
464	0.1926622031
465	0.1924485427
466	0.1920075882
467	0.1918625361
468	0.1917362514
469	0.1915567835
470	0.1912100258
471	0.1910452131
472	0.1909846128
473	0.1905193081
474	0.1903511454
475	0.1903076994
476	0.1902734433
477	0.1901768044
478	0.1899260839
479	0.1897205759
480	0.1896881027
481	0.1894263358
482	0.1891751495
483	0.1888639877
484	0.1887091622
485	0.1886795581
486	0.1881656007
487	0.1879664541
488	0.1878458337
489	0.1878184536
490	0.1876115983
491	0.1873830981
492	0.1871741606
493	0.1869177246
494	0.1867678901
495	0.1866092602
496	0.1862463388
497	0.1858203912
498	0.1856179334
499	0.1855652499
500	0.1851122447
501	0.1848802924
502	0.1847742339
503	0.1845639765
504	0.1844509324
505	0.1842681101
506	0.1841299728
507	0.1840438623
508	0.1839148833
509	0.1835791755
510	0.1833008999
511	0.1832382452
512	0.1829828079
513	0.182822429
514	0.1827544025
515	0.1824638566
516	0.1824426782
517	0.1821074904
518	0.1820016706
519	0.181972613
520	0.1818980446
521	0.1816781779
522	0.1812816329
523	0.1811259871
524	0.1807779927
525	0.1807010251
526	0.1805423455
527	0.1805195878
528	0.1804693406
529	0.1804414548
530	0.1800990839
531	0.1799018389
532	0.1797426939
533	0.1796559348
534	0.1796066886
535	0.1794701413
536	0.1793167949
537	0.1791079641
538	0.1789346961
539	0.1788096651
540	0.178580671
541	0.1785501371
542	0.1783572664
543	0.1782445196
544	0.1778540138
545	0.1776178187
546	0.1772933073
547	0.1772393184
548	0.1770631661
549	0.1769557589
550	0.1766476867
551	0.1764051583
552	0.1763233175
553	0.1762862998
554	0.1760038906
555	0.175596421
556	0.1754505071
557	0.1754073037
558	0.1750690285
559	0.1749671756
560	0.1747569111
561	0.1744831785
562	0.1744586304
563	0.1744391806
564	0.1743357003
565	0.1742618898
566	0.1739359055
567	0.1738467864
568	0.1738042593
569	0.1737034449
570	0.1734888851
571	0.173303926
572	0.1731085095
573	0.1728649638
574	0.1727482283
575	0.1726346094
576	0.1726094856
577	0.1724587701
578	0.1723919638
579	0.1722535234
580	0.1721649409
581	0.1718700757
582	0.1718315121
583	0.1717278957
584	0.171578419
585	0.1712718387
586	0.1709894642
587	0.1708284374
588	0.170679838
589	0.1706531715
590	0.1704953154
591	0.1702857647
592	0.1702045397
593	0.1701864339
594	0.1699547175
595	0.1698943522
596	0.1697456329
597	0.169604757
598	0.1693454762
599	0.1693262625
600	0.1690170004
601	0.1688869663
602	0.1687598736
603	0.168523268
604	0.1684501447
605	0.1683206713
606	0.1682799788
607	0.1680240843
608	0.1678328492
609	0.1676480861
610	0.1674059985
611	0.1673101309
612	0.1672559766
613	0.1670854527
614	0.1670052489
615	0.1668797578
616	0.16677815
617	0.1666040897
618	0.1665821641
619	0.1664497274
620	0.166278915
621	0.1661295694
622	0.1660633733
623	0.1659319878
624	0.1656327444
625	0.1652647577
626	0.1651444355
627	0.1649350916
628	0.1648536925
629	0.1647418285
630	0.1646505441
631	0.1644345778
632	0.1641137884
633	0.163760875
634	0.163646566
635	0.1634580095
636	0.1634440504
637	0.1632439007
638	0.1630927375
639	0.1627669258
640	0.1626663745
641	0.1626511106
642	0.1626265537
643	0.1625224293
644	0.1623861836
645	0.1622298269
646	0.162100902
647	0.1619011347
648	0.1617457808
649	0.1614768838
650	0.1612292937
651	0.161201411
652	0.1611779805
653	0.1611495242
654	0.1610325249
655	0.1609546112
656	0.1606428276
657	0.1604411606
658	0.1603803055
659	0.1602491583
660	0.1602316554
661	0.1601512825
662	0.1600572451
663	0.1597406287
664	0.1595572173
665	0.159459135
666	0.1592516766
667	0.1592304148
668	0.1591511035
669	0.1591308652
670	0.1588995952
671	0.158806527
672	0.1585521156
673	0.1582538363
674	0.1581940859
675	0.1579664807
676	0.1578724387
677	0.1578505354
678	0.1577168062
679	0.157635359
680	0.1574762454
681	0.1572746326
682	0.1571710923
683	0.1570503432
684	0.1570024686
685	0.1568033286
686	0.1566795109
687	0.1565219486
688	0.156231367
689	0.1561023834
690	0.1560794569
691	0.1559519799
692	0.1558611239
693	0.1557923693
694	0.1556832578
695	0.1556145621
696	0.1555189651
697	0.1553727362
698	0.1553359415
699	0.1553211034
700	0.1551531362
701	0.1551340676
702	0.1551088137
703	0.1550144848
704	0.1549425025
705	0.1547839091
706	0.1547527026
707	0.1546572557
708	0.1543734266
709	0.1543529685
710	0.1543117381
711	0.1541873631
712	0.1538319442
713	0.1537985603
714	0.1536999032
715	0.1534915428
716	0.1534601812
717	0.153345892
718	0.1532592136
719	0.1531914069
720	0.1530934813
721	0.1529192293
722	0.1528706623
723	0.1528257597
724	0.152710807
725	0.152691635
726	0.1525119894
727	0.1523632503
728	0.1523385817
729	0.1521101474
730	0.1520933134
731	0.1520754336
732	0.1520465766
733	0.1520321269
734	0.1519829054
735	0.1518309195
736	0.1516588468
737	0.1516414829
738	0.1514450313
739	0.151378329
740	0.151198759
741	0.1508541687
742	0.1507320224
743	0.1506248101
744	0.1505217979
745	0.1503397572
746	0.1502667915
747	0.1499217002
748	0.1497823685
749	0.1495925274
750	0.149541832
751	0.149528824
752	0.1493800461
753	0.1492531301
754	0.1491739918
755	0.1491600767
756	0.1490738561
757	0.1490588408
758	0.1489183643
759	0.1487831307
760	0.1487457834
761	0.1485540437
762	0.148471385
763	0.148121742
764	0.1479617202
765	0.1478980521
766	0.147767149
767	0.1476643534
768	0.1474135197
769	0.1472352796
770	0.1470783563
771	0.1469663496
772	0.146895908
773	0.1466195077
774	0.1466050046
775	0.1465549344
776	0.1463750004
777	0.1462822339
778	0.1462300952
779	0.1459641165
780	0.1459002813
781	0.1458878661
782	0.1455861795
783	0.1453599801
784	0.1453089052
785	0.1452164331
786	0.1452025939
787	0.1450391546
788	0.1449128449
789	0.1447747624
790	0.1446788156
791	0.1445894508
792	0.1444940822
793	0.1444457989
794	0.1444309728
795	0.144291415
796	0.1442752274
797	0.1442291912
798	0.1441137149
799	0.1440389863
800	0.1438053086
801	0.1437733912
802	0.1436413195
803	0.1435636488
804	0.143473122
805	0.1432492243
806	0.1431957715
807	0.1431084513
808	0.14308094
809	0.1429798654
810	0.1429513964
811	0.1429207533
812	0.1429046723
813	0.1428931121
814	0.1428793774
815	0.1427544654
816	0.1426195827
817	0.1425233159
818	0.1423740734
819	0.1422604766
820	0.1422145413
821	0.1421261819
822	0.1421138605
823	0.1418184719
824	0.1417258342
825	0.1415072888
826	0.1413751178
827	0.1411116271
828	0.1410520592
829	0.1408409543
830	0.1406835707
831	0.140607859
832	0.14041053
833	0.1403135176
834	0.1401508416
835	0.1400309664
836	0.1400100841
837	0.1399736663
838	0.1398889837
839	0.1397993518
840	0.1397306965
841	0.1395454041
842	0.139528447
843	0.1395139257
844	0.1393873818
845	0.1392896221
846	0.1390726951
847	0.1389529354
848	0.1387020656
849	0.138691047
850	0.1383813241
851	0.138285861
852	0.1382349101
853	0.1380071652
854	0.1379927285
855	0.1379287254
856	0.137640508
857	0.1376200839
858	0.1375100732
859	0.1374784117
860	0.1373368122
861	0.1372045278
862	0.1370954318
863	0.1369438479
864	0.1367422602
865	0.1366464284
866	0.1366068513
867	0.1365012437
868	0.1362997408
869	0.1358763093
870	0.1358216663
871	0.1357774983
872	0.1357151825
873	0.135695074
874	0.1354436551
875	0.1354295328
876	0.1353986459
877	0.1352739417
878	0.1352277812
879	0.1351735445
880	0.1351535777
881	0.1350518074
882	0.1349827285
883	0.1348723349
884	0.1347331694
885	0.134716613
886	0.1346332704
887	0.1345110027
888	0.1344231292
889	0.1343800705
890	0.134349987
891	0.1342779255
892	0.1341851605
893	0.1340403673
894	0.1339634588
895	0.1338587978
896	0.133786447
897	0.1336734771
898	0.1336049442
899	0.1334852742
900	0.133470329
901	0.1334100998
902	0.1333528291
903	0.1331233719
904	0.1330156966
905	0.1329439931
906	0.1329197276
907	0.1328428423
908	0.1326952736
909	0.1326438984
910	0.1325610233
911	0.1324850127
912	0.1323342561
913	0.1323220609
914	0.1321563814
915	0.1320366691
916	0.1320249818
917	0.1318544304
918	0.1317787142
919	0.1317116638
920	0.1316371859
921	0.1315815415
922	0.1315668092
923	0.1314606829
924	0.1312798909
925	0.1311704431
926	0.1309983414
927	0.1309764011
928	0.130966571
929	0.1308702065
930	0.1308603485
931	0.1308324187
932	0.1307292405
933	0.1307203026
934	0.130575596
935	0.1305604174
936	0.1304785026
937	0.1303562042
938	0.1302117145
939	0.130164544
940	0.130134371
941	0.1300670449
942	0.1298291271
943	0.1298090835
944	0.1295516751
945	0.1294695224
946	0.1294309356
947	0.1293179553
948	0.129260573
949	0.1291808158
950	0.1290731435
951	0.128995327
952	0.1289264417
953	0.1288461939
954	0.1288139041
955	0.1287343431
956	0.1287240576
957	0.1287073218
958	0.1286923741
959	0.128453941
960	0.1283547889
961	0.1282764074
962	0.1281894617
963	0.1280768091
964	0.1280174526
965	0.1280013915
966	0.1275611723
