iter	Passed	Remaining
0	11	23119
1	22	22634
2	33	22332
3	43	21735
4	54	21782
5	65	21727
6	75	21605
7	86	21562
8	97	21477
9	106	21260
10	116	21148
11	128	21254
12	139	21256
13	151	21513
14	162	21439
15	167	20710
16	178	20782
17	189	20834
18	193	20201
19	204	20280
20	215	20290
21	225	20303
22	236	20309
23	246	20320
24	257	20338
25	268	20364
26	278	20359
27	289	20393
28	300	20414
29	310	20418
30	321	20413
31	332	20443
32	343	20454
33	353	20432
34	364	20486
35	375	20491
36	385	20455
37	397	20514
38	411	20672
39	424	20800
40	436	20839
41	448	20891
42	458	20873
43	469	20860
44	480	20859
45	490	20825
46	494	20548
47	505	20567
48	516	20545
49	527	20560
50	538	20579
51	550	20605
52	561	20624
53	573	20675
54	586	20730
55	599	20824
56	611	20846
57	623	20865
58	638	20991
59	649	20997
60	660	20998
61	672	21010
62	685	21082
63	697	21086
64	710	21140
65	721	21149
66	732	21138
67	744	21158
68	757	21195
69	769	21214
70	782	21271
71	793	21259
72	806	21284
73	820	21362
74	833	21390
75	844	21389
76	858	21439
77	869	21436
78	881	21428
79	895	21485
80	908	21517
81	920	21521
82	930	21498
83	942	21493
84	954	21510
85	966	21513
86	978	21516
87	989	21493
88	999	21469
89	1010	21444
90	1021	21420
91	1031	21399
92	1042	21383
93	1053	21362
94	1064	21341
95	1075	21326
96	1085	21304
97	1096	21276
98	1106	21252
99	1118	21245
100	1127	21203
101	1138	21177
102	1148	21157
103	1159	21133
104	1170	21119
105	1180	21100
106	1192	21103
107	1203	21083
108	1215	21092
109	1226	21079
110	1237	21064
111	1249	21057
112	1259	21037
113	1270	21019
114	1281	21005
115	1293	21009
116	1304	20996
117	1315	20987
118	1325	20958
119	1337	20948
120	1348	20934
121	1358	20908
122	1369	20899
123	1380	20881
124	1390	20861
125	1401	20842
126	1413	20839
127	1423	20817
128	1433	20794
129	1445	20786
130	1455	20768
131	1466	20747
132	1477	20734
133	1488	20723
134	1498	20703
135	1510	20702
136	1521	20692
137	1532	20677
138	1543	20659
139	1553	20638
140	1564	20622
141	1576	20626
142	1587	20611
143	1597	20594
144	1609	20588
145	1621	20584
146	1631	20568
147	1643	20561
148	1654	20552
149	1665	20543
150	1675	20516
151	1686	20509
152	1697	20487
153	1708	20485
154	1720	20484
155	1731	20471
156	1741	20446
157	1753	20437
158	1763	20422
159	1774	20402
160	1784	20386
161	1795	20373
162	1807	20367
163	1819	20364
164	1829	20341
165	1839	20322
166	1850	20307
167	1860	20287
168	1873	20294
169	1883	20278
170	1894	20259
171	1904	20242
172	1915	20225
173	1925	20210
174	1936	20194
175	1947	20187
176	1958	20175
177	1968	20152
178	1979	20139
179	1989	20115
180	2002	20125
181	2013	20112
182	2024	20101
183	2035	20089
184	2045	20072
185	2056	20057
186	2067	20043
187	2078	20031
188	2088	20012
189	2100	20010
190	2112	20007
191	2122	19991
192	2134	19981
193	2145	19974
194	2157	19972
195	2168	19961
196	2180	19958
197	2192	19954
198	2205	19956
199	2219	19971
200	2230	19964
201	2242	19960
202	2254	19957
203	2265	19947
204	2277	19938
205	2288	19930
206	2300	19922
207	2311	19914
208	2322	19903
209	2332	19881
210	2343	19869
211	2354	19856
212	2364	19837
213	2375	19826
214	2388	19826
215	2398	19810
216	2409	19795
217	2420	19788
218	2434	19797
219	2445	19788
220	2458	19788
221	2469	19782
222	2481	19771
223	2491	19755
224	2507	19778
225	2519	19775
226	2530	19762
227	2542	19760
228	2554	19753
229	2564	19738
230	2576	19729
231	2587	19715
232	2597	19699
233	2607	19682
234	2618	19668
235	2630	19658
236	2640	19642
237	2651	19632
238	2663	19621
239	2673	19603
240	2684	19596
241	2695	19584
242	2708	19580
243	2724	19608
244	2738	19619
245	2750	19608
246	2761	19600
247	2773	19596
248	2788	19608
249	2802	19618
250	2815	19620
251	2828	19621
252	2840	19611
253	2854	19622
254	2868	19632
255	2881	19632
256	2893	19626
257	2904	19612
258	2916	19602
259	2928	19597
260	2938	19579
261	2950	19570
262	2961	19560
263	2972	19544
264	2984	19539
265	2995	19528
266	3006	19516
267	3018	19507
268	3031	19507
269	3043	19498
270	3054	19485
271	3066	19481
272	3078	19477
273	3092	19478
274	3104	19472
275	3117	19471
276	3129	19467
277	3141	19459
278	3151	19441
279	3163	19435
280	3175	19426
281	3189	19431
282	3200	19418
283	3212	19410
284	3223	19397
285	3234	19381
286	3246	19375
287	3258	19368
288	3269	19359
289	3281	19348
290	3294	19345
291	3306	19341
292	3317	19325
293	3328	19313
294	3341	19312
295	3352	19299
296	3364	19290
