iter	Passed	Remaining
0	100	200187
1	190	190221
2	283	188651
3	374	186781
4	478	190952
5	580	192969
6	687	195637
7	789	196612
8	892	197341
9	998	198678
10	1102	199282
11	1193	197775
12	1304	199321
13	1401	198827
14	1504	199072
15	1595	197872
16	1707	199217
17	1806	198889
18	1902	198334
19	2001	198192
20	2111	198980
21	2212	198893
22	2252	193652
23	2360	194369
24	2471	195259
25	2601	197537
26	2689	196550
27	2789	196447
28	2846	193439
29	2921	191827
30	3029	192446
31	3129	192445
32	3240	193145
33	3338	193054
34	3438	193065
35	3475	189625
36	3583	190132
37	3636	187733
38	3734	187796
39	3836	187970
40	3939	188220
41	4041	188420
42	4148	188790
43	4249	188916
44	4358	189331
45	4461	189528
46	4489	186572
47	4593	186808
48	4692	186841
49	4795	187033
50	4891	186913
51	5004	187464
52	5060	185899
53	5156	185833
54	5275	186569
55	5370	186426
56	5471	186522
57	5514	184624
58	5611	184596
59	5735	185436
60	5828	185257
61	5939	185645
62	6042	185768
63	6139	185713
64	6242	185827
65	6351	186121
66	6450	186115
67	6549	186094
68	6650	186129
69	6755	186251
70	6854	186239
71	6963	186462
72	7061	186408
73	7158	186321
74	7212	185109
75	7313	185142
76	7420	185310
77	7527	185479
78	7630	185547
79	7726	185444
80	7792	184610
81	7906	184942
82	7922	182991
83	8036	183298
84	8140	183402
85	8253	183691
86	8357	183777
87	8455	183712
88	8554	183677
89	8664	183889
90	8756	183697
91	8858	183718
92	8881	182121
93	8980	182100
94	9086	182210
95	9184	182168
96	9286	182190
97	9385	182163
98	9495	182339
99	9599	182381
100	9706	182501
101	9802	182406
102	9902	182388
103	9991	182152
104	10094	182190
105	10188	182044
106	10288	182020
107	10384	181925
108	10483	181867
109	10583	181847
110	10687	181880
111	10793	181939
112	10901	182051
113	10998	181954
114	11095	181874
115	11154	181164
116	11250	181068
117	11363	181234
118	11467	181262
119	11573	181324
120	11670	181237
121	11782	181368
122	11880	181299
123	11982	181283
124	12095	181428
125	12201	181478
126	12300	181413
127	12404	181422
128	12428	180260
129	12529	180233
130	12638	180316
131	12739	180279
132	12851	180403
133	12949	180329
134	13054	180347
135	13154	180294
136	13265	180389
137	13368	180383
138	13469	180330
139	13565	180222
140	13672	180269
141	13768	180156
142	13870	180124
143	13970	180069
144	14079	180121
145	14181	180080
146	14285	180077
147	14387	180038
148	14491	180026
149	14590	179953
150	14704	180056
151	14795	179886
152	14901	179883
153	15005	179869
154	15101	179756
155	15201	179687
156	15301	179621
157	15399	179527
158	15501	179489
159	15604	179457
160	15709	179436
161	15817	179462
162	15917	179389
163	16019	179341
164	16119	179263
165	16224	179250
166	16327	179206
167	16434	179209
168	16538	179181
169	16644	179169
170	16752	179185
171	16849	179080
172	16951	179023
173	17058	179020
174	17163	178990
175	17269	178974
176	17370	178904
177	17487	178998
178	17583	178876
179	17699	178965
180	17800	178890
181	17903	178839
182	17998	178711
183	18103	178677
184	18199	178556
185	18303	178509
186	18407	178465
187	18520	178502
188	18610	178329
189	18714	178282
190	18821	178257
191	18924	178208
192	19014	178029
193	19104	177847
194	19193	177664
195	19295	177595
