iter	Passed	Remaining
407	5771	22518
408	5784	22500
409	5798	22486
410	5811	22469
411	5825	22454
412	5840	22441
413	5854	22427
414	5867	22411
415	5882	22399
416	5897	22386
417	5912	22375
418	5926	22363
419	5941	22351
420	5956	22338
421	5969	22323
422	5983	22309
423	5997	22291
424	6010	22273
425	6025	22262
426	6039	22247
427	6053	22233
428	6066	22216
429	6080	22200
430	6094	22186
431	6107	22169
432	6121	22154
433	6136	22140
434	6150	22128
435	6164	22112
436	6177	22095
437	6191	22078
438	6204	22062
439	6218	22046
440	6232	22031
441	6245	22015
442	6259	22000
443	6272	21983
444	6286	21968
445	6300	21951
446	6313	21935
447	6327	21919
448	6341	21906
449	6356	21895
450	6369	21876
451	6383	21863
452	6399	21852
453	6414	21843
454	6429	21831
455	6443	21816
456	6457	21801
457	6471	21787
458	6485	21774
459	6500	21761
460	6514	21749
461	6528	21735
462	6543	21720
463	6558	21710
464	6573	21699
465	6588	21689
466	6602	21674
467	6616	21659
468	6630	21645
469	6644	21630
470	6659	21618
471	6673	21602
472	6686	21587
473	6700	21572
474	6714	21555
475	6728	21541
476	6742	21526
477	6755	21510
478	6769	21494
479	6783	21479
480	6797	21467
481	6811	21452
482	6826	21439
483	6839	21424
484	6853	21409
485	6867	21392
486	6880	21377
487	6896	21367
488	6910	21352
489	6924	21338
490	6938	21324
491	6951	21307
492	6966	21294
493	6980	21279
494	6994	21266
495	7009	21254
496	7023	21238
497	7037	21225
498	7050	21209
499	7065	21196
500	7079	21181
501	7093	21166
502	7108	21154
503	7121	21138
504	7135	21124
505	7149	21110
506	7163	21093
507	7176	21078
508	7191	21064
509	7204	21049
510	7218	21035
511	7233	21022
512	7247	21008
513	7261	20993
514	7276	20980
515	7289	20964
516	7303	20949
517	7317	20934
518	7330	20918
519	7344	20904
520	7358	20888
521	7372	20874
522	7386	20860
523	7401	20847
524	7415	20833
525	7429	20818
526	7442	20802
527	7456	20787
528	7470	20773
529	7484	20759
530	7498	20745
531	7512	20729
532	7526	20714
533	7540	20700
534	7554	20686
535	7568	20673
536	7584	20663
537	7598	20648
538	7612	20632
539	7626	20619
540	7640	20605
541	7655	20592
542	7668	20576
543	7682	20562
544	7696	20548
545	7711	20535
546	7726	20522
547	7740	20510
548	7754	20494
549	7769	20483
550	7783	20469
551	7797	20455
552	7813	20444
553	7829	20434
554	7843	20422
555	7859	20412
556	7874	20400
557	7889	20388
558	7903	20372
559	7916	20357
560	7930	20342
561	7944	20328
562	7959	20315
563	7972	20299
564	7986	20283
565	7999	20267
566	8014	20254
567	8028	20241
568	8042	20226
569	8056	20212
570	8070	20197
571	8084	20183
572	8098	20168
573	8112	20154
574	8126	20138
575	8140	20124
576	8154	20111
577	8168	20097
578	8182	20082
579	8196	20066
580	8210	20052
581	8223	20035
582	8237	20022
583	8251	20006
584	8266	19994
585	8280	19980
586	8294	19965
587	8309	19953
588	8322	19938
589	8337	19924
590	8352	19913
591	8367	19901
592	8381	19887
593	8395	19872
594	8410	19860
595	8426	19851
596	8443	19842
597	8459	19833
598	8475	19822
599	8490	19812
600	8506	19801
601	8521	19788
602	8535	19775
603	8551	19764
604	8566	19752
605	8580	19738
606	8594	19723
607	8608	19708
608	8622	19694
609	8636	19680
610	8650	19666
611	8664	19650
612	8677	19634
613	8691	19620
614	8706	19607
615	8721	19594
616	8734	19578
617	8748	19564
618	8763	19551
619	8778	19538
620	8792	19524
621	8807	19512
622	8822	19499
623	8838	19489
624	8857	19486
625	8875	19479
626	8888	19464
627	8903	19451
628	8918	19439
629	8933	19426
630	8947	19411
631	8962	19399
632	8977	19387
633	8992	19374
634	9006	19359
635	9020	19345
636	9036	19334
637	9050	19321
638	9066	19309
639	9082	19299
640	9105	19303
641	9119	19290
642	9133	19276
643	9148	19263
644	9163	19250
645	9178	19238
646	9194	19226
647	9208	19212
648	9222	19198
649	9237	19185
650	9252	19172
651	9268	19163
652	9283	19150
653	9297	19135
654	9312	19123
655	9327	19109
656	9356	19126
657	9369	19109
658	9384	19096
659	9398	19081
660	9412	19066
661	9426	19052
662	9440	19036
663	9453	19021
664	9467	19007
665	9482	18994
666	9496	18978
667	9511	18965
668	9524	18950
669	9538	18934
670	9553	18921
671	9567	18907
672	9581	18891
673	9595	18877
674	9610	18864
675	9624	18850
676	9640	18838
677	9657	18830
678	9671	18816
679	9686	18803
680	9701	18791
681	9717	18778
682	9732	18766
683	9746	18752
684	9762	18740
685	9776	18726
686	9791	18712
687	9805	18698
688	9819	18684
689	9833	18668
690	9847	18654
691	9861	18639
692	9876	18626
693	9890	18612
694	9905	18600
695	9920	18586
696	9935	18574
697	9949	18559
698	9964	18546
699	9978	18530
700	9992	18517
701	10007	18503
702	10025	18496
703	10041	18485
704	10058	18476
705	10076	18468
706	10093	18459
707	10107	18444
708	10121	18429
709	10136	18416
710	10150	18401
711	10165	18388
712	10179	18374
713	10193	18359
714	10207	18344
715	10220	18328
716	10234	18314
717	10250	18303
718	10264	18288
719	10280	18275
720	10296	18264
721	10311	18252
722	10326	18238
723	10341	18226
724	10356	18212
725	10371	18199
726	10386	18187
727	10402	18175
728	10417	18162
729	10431	18147
730	10446	18135
731	10463	18124
732	10479	18114
733	10495	18102
734	10510	18090
735	10525	18076
736	10541	18064
737	10556	18051
738	10571	18038
739	10587	18026
740	10601	18012
741	10615	17997
742	10630	17983
743	10644	17969
744	10658	17955
745	10673	17942
746	10689	17929
747	10705	17919
748	10721	17906
749	10735	17893
750	10750	17879
751	10765	17865
752	10779	17851
753	10795	17839
754	10809	17825
755	10825	17813
756	10839	17799
757	10856	17787
758	10872	17777
759	10888	17764
760	10902	17750
761	10916	17735
762	10931	17722
763	10946	17709
764	10961	17696
765	10976	17683
766	10992	17670
767	11006	17656
768	11021	17643
769	11036	17629
770	11050	17615
771	11064	17600
772	11079	17586
773	11094	17573
774	11109	17560
775	11125	17549
776	11140	17535
777	11156	17522
778	11171	17510
779	11186	17496
780	11200	17482
781	11215	17468
782	11229	17454
783	11246	17443
784	11260	17429
785	11277	17417
786	11291	17404
787	11306	17390
788	11321	17376
789	11337	17365
790	11353	17353
791	11368	17339
792	11383	17326
793	11398	17312
794	11413	17300
795	11428	17286
796	11444	17274
797	11458	17260
798	11473	17246
799	11487	17231
800	11502	17217
801	11517	17204
802	11532	17190
803	11545	17175
804	11560	17161
805	11575	17147
806	11588	17132
807	11603	17118
808	11618	17104
809	11633	17090
810	11647	17076
811	11662	17062
812	11677	17048
813	11690	17033
814	11705	17020
815	11722	17008
816	11739	16999
817	11757	16989
818	11781	16988
819	11802	16983
820	11826	16983
821	11854	16988
822	11882	16993
823	11904	16990
824	11921	16979
825	11938	16967
826	11954	16955
827	11970	16944
