iter	Passed	Remaining
0	179	357823
1	189	188857
2	198	131846
3	207	103721
4	217	86804
5	226	75342
6	237	67503
7	245	61240
8	256	56665
9	266	52993
10	276	49981
11	286	47462
12	296	45320
13	305	43353
14	314	41673
15	324	40215
16	334	39053
17	344	37943
18	355	37106
19	365	36223
20	374	35335
21	385	34643
22	394	33943
23	403	33238
24	414	32706
25	423	32117
26	432	31609
27	442	31140
28	450	30648
29	460	30246
30	470	29897
31	480	29562
32	491	29293
33	500	28957
34	511	28730
35	521	28448
36	532	28239
37	533	27538
38	542	27285
39	552	27058
40	562	26882
41	572	26700
42	581	26482
43	591	26295
44	601	26137
45	611	25975
46	620	25803
47	630	25629
48	640	25505
49	649	25318
50	658	25154
51	666	24982
52	676	24845
53	685	24691
54	694	24566
55	703	24413
56	712	24303
57	721	24162
58	730	24026
59	739	23918
60	749	23824
61	758	23715
62	767	23593
63	776	23493
64	785	23384
65	794	23275
66	804	23200
67	812	23084
68	821	22996
69	830	22900
70	839	22817
71	848	22732
72	857	22643
73	868	22592
74	877	22522
75	886	22450
76	896	22388
77	907	22365
78	917	22301
79	925	22217
80	935	22158
81	944	22088
82	953	22032
83	962	21951
84	973	21922
85	982	21859
86	991	21800
87	993	21578
88	1002	21523
89	1011	21466
90	1021	21432
91	1031	21389
92	1039	21322
93	1049	21272
94	1057	21209
95	1067	21173
96	1076	21113
97	1085	21072
98	1095	21038
99	1104	20991
100	1114	20958
101	1123	20908
102	1132	20866
103	1143	20849
104	1153	20821
105	1162	20778
106	1171	20727
107	1180	20687
108	1190	20645
109	1199	20608
110	1208	20566
111	1217	20522
112	1226	20482
113	1235	20438
114	1245	20411
115	1253	20363
116	1263	20330
117	1271	20283
118	1282	20266
119	1291	20238
120	1300	20197
121	1309	20159
122	1318	20117
123	1327	20090
124	1337	20063
125	1346	20023
126	1356	20005
127	1366	19989
128	1375	19955
129	1384	19915
130	1393	19884
131	1402	19848
132	1411	19819
133	1420	19786
134	1429	19747
135	1438	19713
136	1446	19676
137	1456	19650
138	1465	19620
139	1475	19598
140	1484	19566
141	1493	19544
142	1504	19535
143	1513	19506
144	1523	19494
145	1532	19466
146	1543	19460
147	1554	19454
148	1565	19449
149	1574	19420
150	1584	19400
151	1593	19370
152	1602	19345
153	1611	19321
154	1621	19297
155	1630	19268
156	1639	19249
157	1648	19222
158	1657	19193
159	1666	19168
160	1676	19152
161	1686	19135
162	1694	19100
163	1704	19082
164	1713	19060
165	1722	19033
166	1731	19007
167	1740	18976
168	1749	18956
169	1758	18930
170	1768	18912
171	1777	18889
172	1786	18861
173	1795	18844
174	1804	18816
175	1813	18796
176	1822	18772
177	1833	18769
178	1842	18740
179	1851	18725
180	1861	18703
181	1871	18696
182	1881	18678
183	1890	18655
184	1899	18634
185	1909	18620
186	1918	18598
187	1927	18577
188	1937	18567
189	1948	18560
190	1957	18538
191	1966	18515
192	1975	18496
193	1985	18482
194	1995	18471
195	2004	18449
196	2014	18435
197	2023	18414
198	2034	18414
199	2044	18400
200	2053	18377
201	2062	18361
202	2072	18349
203	2082	18331
204	2091	18312
205	2100	18290
206	2109	18272
207	2118	18254
208	2128	18238
209	2138	18225
210	2147	18210
211	2157	18197
212	2166	18177
213	2177	18169
214	2186	18151
215	2195	18129
216	2205	18118
217	2214	18102
218	2223	18083
219	2233	18067
220	2241	18047
221	2252	18040
222	2261	18018
223	2272	18014
224	2280	17992
225	2290	17976
226	2299	17963
227	2308	17942
228	2318	17933
229	2327	17910
230	2339	17916
231	2348	17900
232	2357	17879
233	2367	17864
234	2376	17847
235	2385	17831
236	2393	17808
237	2403	17794
238	2412	17779
239	2422	17761
240	2431	17745
241	2440	17725
242	2449	17712
243	2458	17692
244	2468	17684
245	2478	17670
246	2487	17651
247	2496	17638
248	2505	17620
249	2515	17611
250	2525	17600
251	2534	17582
252	2544	17570
253	2553	17552
254	2565	17554
255	2575	17546
256	2585	17537
257	2596	17530
258	2606	17519
259	2616	17510
260	2626	17496
261	2635	17479
262	2644	17464
263	2653	17448
264	2663	17437
265	2673	17429
266	2682	17413
267	2693	17404
268	2701	17384
269	2711	17370
270	2719	17352
271	2731	17351
272	2741	17341
273	2750	17324
274	2760	17315
275	2769	17301
276	2779	17287
277	2789	17278
278	2799	17266
279	2809	17260
