iter	RMSE
0	11.26449593
1	10.72659302
2	10.20361169
3	9.710550356
4	9.238910389
5	8.796310267
6	8.370961224
7	7.964533516
8	7.58657755
9	7.217262838
10	6.871213478
11	6.544227072
12	6.22789113
13	5.927613147
14	5.640781136
15	5.369885667
16	5.119380296
17	4.872547166
18	4.64224185
19	4.418805214
20	4.207032462
21	4.008691071
22	3.816924154
23	3.634172609
24	3.459932822
25	3.294984467
26	3.139030715
27	2.989808308
28	2.848460268
29	2.714567025
30	2.587124987
31	2.471059452
32	2.356059523
33	2.246830639
34	2.142495972
35	2.044594901
36	1.951140741
37	1.860621292
38	1.776244085
39	1.696950225
40	1.621052472
41	1.550299277
42	1.483417174
43	1.418160456
44	1.356828307
45	1.298895171
46	1.24313892
47	1.19198217
48	1.14299071
49	1.095950231
50	1.052507071
51	1.011598194
52	0.9717103823
53	0.9348313262
54	0.8997458887
55	0.8653970635
56	0.8342681755
57	0.8040431075
58	0.7747567434
59	0.7481994823
60	0.7239403241
61	0.7004468294
62	0.6790913248
63	0.6574039064
64	0.6378363572
65	0.618478197
66	0.6002427283
67	0.5839479179
68	0.5680008989
69	0.5532652988
70	0.540293385
71	0.5268477931
72	0.5156751608
73	0.5042237912
74	0.4938682626
75	0.4826901619
76	0.4727665635
77	0.463838102
78	0.4559101944
79	0.4486291674
80	0.4409911074
81	0.4335096337
82	0.4265857498
83	0.4210896357
84	0.4153850025
85	0.4107374962
86	0.4052505868
87	0.4003802014
88	0.3957936385
89	0.3916807064
90	0.3864309381
91	0.3825706803
92	0.3788427202
93	0.3753509144
94	0.3725918855
95	0.369649543
96	0.3669428155
97	0.3642829632
98	0.3621072824
99	0.3592836855
100	0.3563282566
101	0.3534452851
102	0.3505558915
103	0.3483399691
104	0.3463700895
105	0.3443696078
106	0.34245119
107	0.340207756
108	0.3386357648
109	0.3373122532
110	0.3359024119
111	0.3345188318
112	0.3330780795
113	0.3316327993
114	0.3303348085
115	0.329212203
116	0.327929997
117	0.3264515613
118	0.3251558824
119	0.3241366914
120	0.3230442771
121	0.3220809101
122	0.3205869985
123	0.318917554
124	0.3177712079
125	0.3167835892
126	0.3158023042
127	0.3146852419
128	0.3138056684
129	0.3129012211
130	0.311954511
131	0.310788827
132	0.3100093975
133	0.3087875054
134	0.3079736304
135	0.3071947325
136	0.306267462
137	0.305413104
138	0.3046861685
139	0.3041749309
140	0.303068516
141	0.3024530884
142	0.3015861546
143	0.3009110129
144	0.2999226787
145	0.29889175
146	0.2981126566
147	0.2974234698
148	0.2967490959
149	0.296224832
150	0.2955161643
151	0.2948128423
152	0.2938259177
153	0.2926798168
154	0.2920270235
155	0.2914192211
156	0.2903967102
157	0.2897444146
158	0.2892144999
159	0.2884772036
160	0.2880246752
161	0.2874860853
162	0.286754051
163	0.2861168206
164	0.285646176
165	0.2851900987
166	0.2836849196
167	0.2829373983
168	0.2822945392
169	0.281907726
170	0.2813534982
171	0.2808185081
172	0.2802563785
173	0.2797898191
174	0.279272779
175	0.2789620877
176	0.2783362473
177	0.2778519422
178	0.277447618
179	0.2770498189
180	0.2765449729
181	0.2760471036
182	0.2759170123
183	0.2754632127
184	0.2752938948
185	0.2746954235
186	0.2737666017
187	0.2733532071
188	0.2729036312
189	0.272076474
190	0.2718991774
191	0.2713438433
192	0.2711633203
193	0.2703945357
194	0.2701830493
195	0.2696031052
196	0.2686588748
197	0.2685189928
198	0.2679939095
199	0.2675535981
200	0.2673916124
201	0.267203141
202	0.2667137275
203	0.2659534644
204	0.2655973828
205	0.2654095262
206	0.2652563317
207	0.2650896425
208	0.2644206868
209	0.2637526196
210	0.2636598688
211	0.2634240123
212	0.2627961204
213	0.2621674117
214	0.2620796493
215	0.2619924229
216	0.2618577784
217	0.2613014878
218	0.2611497217
219	0.2606013387
220	0.2601619095
221	0.2595989721
222	0.2594761065
223	0.2587828149
224	0.2583516508
225	0.2577430875
226	0.2573414065
227	0.2572184561
228	0.256781076
229	0.2567017819
230	0.2560477031
231	0.2559325722
232	0.2557938639
233	0.25531719
234	0.2552240495
235	0.2542845667
236	0.2542067861
237	0.2536572996
238	0.2535837507
239	0.2531147915
240	0.2530179409
241	0.2529455747
