iter	Passed	Remaining
0	31	62765
1	67	67021
2	106	71022
3	117	58865
4	150	60208
5	191	63617
6	228	65111
7	270	67477
8	312	69033
9	353	70283
10	391	70780
11	438	72691
12	477	72954
13	519	73628
14	526	69667
15	562	69731
16	612	71390
17	642	70791
18	681	71058
19	723	71673
20	758	71489
21	801	72097
22	837	71953
23	874	72001
24	908	71747
25	946	71828
26	982	71818
27	1024	72136
28	1061	72156
29	1101	72317
30	1135	72145
31	1177	72387
32	1212	72246
33	1252	72419
34	1288	72365
35	1328	72465
36	1363	72328
37	1403	72488
38	1440	72449
39	1481	72607
40	1531	73199
41	1572	73296
42	1576	71756
43	1613	71746
44	1647	71575
45	1683	71522
46	1719	71454
47	1762	71688
48	1798	71602
49	1841	71810
50	1879	71841
51	1904	71349
52	1939	71236
53	1949	70264
54	1988	70309
55	2024	70262
56	2064	70365
57	2100	70329
58	2142	70493
59	2181	70545
60	2221	70628
61	2274	71082
62	2325	71507
63	2360	71396
64	2400	71452
65	2418	70875
66	2433	70214
67	2470	70196
68	2507	70162
69	2524	69601
70	2560	69562
71	2572	68888
72	2606	68816
73	2644	68827
74	2677	68733
75	2719	68848
76	2756	68840
77	2799	68979
78	2841	69084
79	2890	69377
80	2935	69556
81	2980	69712
82	3022	69800
83	3065	69918
84	3104	69946
85	3147	70039
86	3187	70092
87	3229	70167
88	3246	69697
89	3285	69724
90	3325	69763
91	3366	69808
92	3406	69852
93	3443	69832
94	3488	69954
95	3522	69864
96	3562	69895
97	3597	69826
98	3637	69855
99	3674	69815
100	3720	69959
101	3759	69955
102	3800	70001
103	3835	69932
104	3879	70024
105	3915	69969
106	3929	69520
107	3984	69800
108	4019	69729
109	4057	69712
110	4096	69719
111	4135	69716
112	4177	69756
113	4216	69764
114	4253	69726
115	4296	69779
116	4340	69848
117	4384	69924
118	4425	69945
119	4470	70036
120	4508	70005
121	4549	70028
122	4587	69998
123	4631	70064
124	4667	70016
125	4707	70008
126	4742	69943
127	4785	69987
128	4821	69931
129	4857	69871
130	4900	69914
131	4942	69940
132	4985	69985
133	5023	69956
134	5065	69973
135	5103	69942
136	5147	69999
137	5187	69993
138	5231	70036
139	5266	69971
140	5304	69931
141	5353	70043
142	5392	70030
143	5426	69940
144	5468	69953
145	5504	69904
146	5548	69944
147	5584	69881
148	5625	69888
149	5664	69857
150	5732	70193
151	5769	70146
152	5812	70172
153	5853	70170
154	5896	70184
155	5931	70116
156	5972	70109
157	6016	70147
158	6056	70123
159	6093	70073
160	6135	70085
161	6178	70098
162	6217	70076
163	6257	70051
164	6297	70039
165	6335	69991
166	6374	69967
167	6412	69924
168	6448	69864
169	6482	69782
170	6521	69750
171	6554	69662
172	6592	69624
173	6628	69561
174	6679	69657
175	6716	69611
176	6753	69561
177	6794	69551
178	6835	69537
179	6873	69499
180	6914	69484
181	6952	69447
182	6993	69435
183	7042	69504
184	7089	69554
185	7123	69474
186	7159	69414
187	7193	69332
188	7230	69278
189	7263	69192
190	7303	69171
191	7342	69146
192	7383	69125
