iter	RMSE
0	11.24472967
1	10.69979939
2	10.17616022
3	9.681308486
4	9.210950477
5	8.767346803
6	8.345486032
7	7.945685697
8	7.565049285
9	7.199168083
10	6.852679369
11	6.525828168
12	6.213280076
13	5.91527153
14	5.63356992
15	5.366137239
16	5.106999269
17	4.860119558
18	4.625610028
19	4.40247257
20	4.195095236
21	3.993782158
22	3.802615081
23	3.61987231
24	3.446069393
25	3.28233669
26	3.130463977
27	2.980747596
28	2.840650431
29	2.707695156
30	2.581807051
31	2.461981388
32	2.347256363
33	2.239941409
34	2.136099809
35	2.037345109
36	1.944379036
37	1.858583677
38	1.774547653
39	1.693351994
40	1.617606424
41	1.545817367
42	1.478496079
43	1.413887532
44	1.355128644
45	1.298208648
46	1.243191461
47	1.190556161
48	1.141315975
49	1.093389054
50	1.048904815
51	1.007183846
52	0.9682122521
53	0.9314557915
54	0.8961800108
55	0.8632855943
56	0.8316214248
57	0.801463006
58	0.7731104298
59	0.7455570511
60	0.7212124803
61	0.6971134043
62	0.6737032088
63	0.6515916767
64	0.6319640969
65	0.6118067906
66	0.5935328584
67	0.5757575473
68	0.5592296985
69	0.5442474328
70	0.5307846236
71	0.5178078208
72	0.5060166198
73	0.4947849082
74	0.4833364937
75	0.4732218679
76	0.4634963308
77	0.4549496486
78	0.4463447849
79	0.4379058924
80	0.4294672878
81	0.4221210307
82	0.4158186956
83	0.4102851654
84	0.4042378433
85	0.3986605133
86	0.3941471611
87	0.3890259711
88	0.3838690906
89	0.3796161366
90	0.3747013337
91	0.3702265658
92	0.3667535496
93	0.363265485
94	0.3595366698
95	0.3562659001
96	0.3529978333
97	0.3502660903
98	0.3475151979
99	0.3451427339
100	0.3430210817
101	0.3410789857
102	0.3389147497
103	0.3370732065
104	0.3353643559
105	0.3339150105
106	0.332231978
107	0.3305145804
108	0.3289399826
109	0.3272505839
110	0.3256995489
111	0.3246110224
112	0.3232024036
113	0.3220039954
114	0.3207505338
115	0.3194119758
116	0.3178384319
117	0.3167171643
118	0.3152987635
119	0.3142480156
120	0.3132391344
121	0.3117984827
122	0.3107425618
123	0.3094795556
124	0.3079951894
125	0.3070835283
126	0.3062954084
127	0.3054545134
128	0.3046483045
129	0.3040434799
130	0.3032716316
131	0.3023976594
132	0.3016070938
133	0.3008629738
134	0.3001138118
135	0.2988336461
136	0.2979484926
137	0.2972056896
138	0.2962911604
139	0.2957986755
140	0.2947604926
141	0.2937695271
142	0.2930216794
143	0.292301201
144	0.291673792
145	0.2912027366
146	0.2906137927
147	0.2897285688
148	0.2890082498
149	0.2880952788
150	0.2875495352
151	0.2867193751
152	0.2860712687
153	0.2854856098
154	0.2847149625
155	0.2839909519
156	0.2835206194
157	0.2822317107
158	0.2813971022
159	0.2808652943
160	0.2800735293
161	0.279601559
162	0.2789458787
163	0.2781619728
164	0.2776080974
165	0.2769891184
166	0.2765719862
167	0.276036713
168	0.275392149
169	0.2746717913
170	0.2736812788
171	0.2731085294
172	0.2728221211
173	0.2724298604
174	0.2717927541
175	0.2709182735
176	0.2703619349
177	0.2698411344
178	0.2693787884
179	0.2687552922
180	0.2682934066
181	0.2675568981
182	0.2669782843
183	0.266073281
184	0.265504451
185	0.2647929625
186	0.2643680539
187	0.2636303969
188	0.2629618447
189	0.2622502278
190	0.2616861703
191	0.2611755579
192	0.2604744238
193	0.2599318953
194	0.2592573899
195	0.2590999902
196	0.2588643161
197	0.2585953065
198	0.2581004566
199	0.2573111531
200	0.2566523548
201	0.2565015096
202	0.2563413585
203	0.2562104062
204	0.2560711492
205	0.255619077
206	0.2551634031
207	0.2547810485
208	0.2540698175
209	0.2538101531
210	0.2529290832
211	0.2523155693
212	0.2521936785
213	0.2515326392
214	0.251405256
215	0.2507615385
216	0.2502433096
217	0.2498199474
218	0.2493395201
219	0.2487833977
220	0.2485581468
221	0.2484559946
222	0.2479836373
223	0.2478646437
224	0.2477678204
225	0.2471905758
226	0.2465520375
227	0.2458578842
228	0.2451674046
229	0.2450645458
230	0.244925149
231	0.2443397716
232	0.2435912108
233	0.2427745975
234	0.2423964853
235	0.2418580965
236	0.2417691268
237	0.2410953629
238	0.2407894175
239	0.240320978
240	0.2401039598
241	0.24002419
242	0.2399398039
243	0.2396626339
244	0.2391141036
245	0.2387837957
246	0.2383940221
247	0.2378743756
248	0.2376485395
249	0.2371663273
250	0.2367276866
251	0.2360408283
252	0.2359601976
253	0.2351473356
254	0.2347300027
255	0.2343997513
256	0.2341667052
257	0.2340935948
258	0.2338132245
259	0.2333938371
260	0.2329515215
261	0.2328667463
262	0.2324427564
263	0.2319141253
264	0.2316477618
265	0.2315593881
266	0.2307879198
267	0.2304408334
268	0.2300068309
269	0.2296121193
270	0.2289350778
271	0.2288645989
272	0.228617317
273	0.228104165
274	0.2274506039
275	0.2269835327
276	0.2268421408
277	0.2264408462
278	0.2262366101
279	0.226083064
280	0.225610159
281	0.2255433188
282	0.2252759867
283	0.2247319699
284	0.2243464685
285	0.2242812307
286	0.2238880584
287	0.2238254158
288	0.223762767
289	0.2231476036
290	0.2228478439
291	0.2224311585
292	0.2219935046
293	0.2217428762
294	0.2214016577
295	0.2212906912
296	0.2210659866
297	0.2206625237
298	0.2198618047
299	0.2195336447
300	0.2190955015
301	0.218653573
302	0.2183430978
303	0.2176769245
304	0.2172444712
305	0.2167878828
306	0.2164505188
307	0.2162007517
308	0.2161291313
309	0.2158146815
310	0.2151098084
311	0.2145779256
312	0.2142855905
313	0.2139726811
314	0.2139073173
315	0.2137993892
316	0.213196821
317	0.212621588
318	0.2122794764
319	0.2117848124
320	0.2115069891
321	0.2110539476
322	0.211001484
323	0.2107197618
324	0.2104575135
325	0.2100901869
326	0.2094076554
327	0.2090448208
328	0.2087565048
329	0.2084390898
330	0.2078153659
331	0.207394057
332	0.2072067703
333	0.2069423247
334	0.2068506537
335	0.2065101297
336	0.2062061071
337	0.2058795381
338	0.2055060891
339	0.2051566268
340	0.2047528629
341	0.2046857446
342	0.2044424864
343	0.2041271195
344	0.2040712471
345	0.2037574175
346	0.2034842219
347	0.2032212215
348	0.2031578094
